,egf,y27632,n_acetyl_cysteine,a83_01,sb202190,fgf2,cholera_toxin
TTN_vaf,0.0002949458676059545,0.007820581909147075,0.006287908919736719,0.006287908919736719,0.0006880757160525943,0.0013486503664345267,0.0
RYR3_vaf,0.0006915783858144983,0.00027146515633946457,0.0033347267782528785,0.0033347267782528785,0.011494413717735194,0.0,0.0032854023317050443
LRP2_vaf,0.00011204958848425405,0.0053149882584112434,0.0008459109619814546,0.0008459109619814546,0.01039975913731559,0.002730607482796749,0.0
MUC12_vaf,5.826266134048658e-05,0.006340127388643733,0.006579584938253588,0.006579584938253588,0.00046601060809094825,0.0,0.0
DNAH11_vaf,0.0,0.0003616804112251489,0.00333687805684977,0.00333687805684977,0.0,0.0006485196262768551,0.011914131948344238
USH2A_vaf,0.0,0.003956558567716396,0.007548577061200937,0.007548577061200937,0.0,0.0,0.0
KMT2D_vaf,0.0,0.006717421859411093,0.005320894599582836,0.005320894599582836,0.0,0.0,0.0
CSMD2_vaf,0.0004943555962305407,0.0028113148409378954,0.004418084157895913,0.004418084157895913,0.003360452316010077,0.001007581338472993,0.0
EYS_vaf,0.0008177343052490899,0.00029399210672957106,0.0031648161220225323,0.0031648161220225323,0.005913413201909022,0.002802463430457019,0.0
PCLO_vaf,0.0,0.0012701114623726517,0.005977637942840187,0.005977637942840187,0.0026446722228938998,0.0,0.0
FAT3_vaf,1.0168025507409571e-05,0.00032460580480477534,0.0030006759635993266,0.0030006759635993266,0.006576174330925375,0.0028847513702691097,0.0
PIK3CA_vaf,1.783449312060665e-05,0.0008785904604416143,0.005576744294297828,0.005576744294297828,0.0,0.0027362978999987235,0.0
AHNAK2_vaf,0.0,0.0020623949177620976,0.003665909767956743,0.003665909767956743,0.0034603368836746717,0.0018047313536204462,0.0
KCNQ1_vaf,0.0010921493516367114,0.005679351819150321,0.002262094178150743,0.002262094178150743,0.001352278421969708,0.0,0.001913993610868901
ADGRV1_vaf,4.4517588645812494e-05,0.006504626048169475,0.0036066444405310196,0.0036066444405310196,0.0,0.0,0.0
TNXB_vaf,6.681470100899622e-06,0.0014457134269583163,0.00219376052675759,0.00219376052675759,0.007447914745620802,0.0,0.0
DCHS2_vaf,0.0,0.0016051740041643412,0.00015328508983272965,0.00015328508983272965,0.0002669183556951043,0.010366577574798828,0.0
FSIP2_vaf,2.045291983904028e-05,0.0026598429727862755,0.0046427796294153225,0.0046427796294153225,0.0,0.0,0.0
DNAH9_vaf,0.0,0.0008724791778191409,0.0043136483675912645,0.0043136483675912645,0.0010766653822193804,0.0,0.0
COL6A5_vaf,0.0,0.004180976639034442,0.0019944911259840536,0.0019944911259840536,0.0,0.002334909795628468,0.0
HMCN1_vaf,4.441807820613051e-05,0.0,0.0,0.0,0.0,0.010216186037025326,0.0
CSMD1_vaf,0.00017243843187657372,0.0020016965770624233,0.0010210999705971718,0.0010210999705971718,0.0032381129401880373,0.002780170248917005,0.0
NEB_vaf,8.99776258069023e-06,0.0015972978115851063,0.002131382718624476,0.002131382718624476,0.0024392188120760123,0.0,0.0
PIEZO2_vaf,0.0,0.0,0.0025677567538520416,0.0025677567538520416,0.0,0.002846822356010363,0.0
APOB_vaf,7.155680022082604e-05,0.005639444867269784,0.0,0.0,0.0,0.00025376120050489857,0.0
SPTA1_vaf,1.4180080698969977e-05,0.002302310004802447,0.0010751013104651807,0.0010751013104651807,0.0,0.0,0.0
LRP1B_vaf,0.0,0.0024282666836337135,0.0007657807493757012,0.0007657807493757012,0.0,0.0,0.0
HYDIN_vaf,0.0007469441377688346,4.123819293255688e-08,0.0009176245265392006,0.0009176245265392006,0.0,0.0,0.0
PKHD1L1_vaf,0.00014020884718104185,0.0001775767031603509,0.0011026922215713337,0.0011026922215713337,0.0,0.0,0.0
DNAH7_vaf,0.00021423627073380915,0.0013685239150014578,0.00022441702397672797,0.00022441702397672797,0.0,0.00020016900155066036,0.0
MACF1_vaf,8.630299148966084e-05,0.0015435383103535824,3.063208671048201e-07,3.063208671048201e-07,0.0002762736251460635,0.0,0.0
XIRP2_vaf,6.642705425272505e-06,0.0004446080714018481,0.0,0.0,0.00040071720690090784,0.0,0.0
RP1_vaf,0.0002781396841318018,0.00034538255132050377,9.75353562915951e-06,9.75353562915951e-06,0.0,0.0,0.0
pi3k_pathway_max_vaf,0.0,0.00030936784572304325,0.0,0.0,0.0,0.0003052748527384851,0.0
DNAH3_vaf,0.00042125495334342013,0.0,0.0,0.0,0.0,0.0,0.0
